Chain,Token Symbol,Value,Type
arbitrum,ETH,0.0,Claimed Fees
arbitrum,ETH,0.0,Unclaimed Fees
arbitrum,USDC,0.0,Claimed Fees
arbitrum,USDC,0.0,Unclaimed Fees
arbitrum,USDT,10945.644709999999,Claimed Fees
arbitrum,USDT,0.0,Unclaimed Fees
arbitrum,DAI,4459.38420128,Claimed Fees
arbitrum,DAI,0.0,Unclaimed Fees
arbitrum,GMX,9396.773469526344,Claimed Fees
arbitrum,GMX,64795.97351056832,Unclaimed Fees
arbitrum,FRAX,0.0,Claimed Fees
arbitrum,FRAX,0.0,Unclaimed Fees
arbitrum,NETH,79328.4620513995,Claimed Fees
arbitrum,NETH,27787.248132251203,Unclaimed Fees
arbitrum,ARB,864423.356468,Claimed Fees
arbitrum,ARB,0.0,Unclaimed Fees
arbitrum,USDC.e,15712.1589123,Claimed Fees
arbitrum,USDC.e,0.0,Unclaimed Fees
arbitrum,GOHM,20590.859300333817,Claimed Fees
arbitrum,GOHM,74547.46100156782,Unclaimed Fees
arbitrum,WETH,0.0,Claimed Fees
arbitrum,WETH,0.0,Unclaimed Fees
arbitrum,UNIDX,632.9945983392854,Claimed Fees
arbitrum,UNIDX,703.0929477174213,Unclaimed Fees
arbitrum,SYN,0.0,Claimed Fees
arbitrum,SYN,3323.536352566117,Unclaimed Fees
arbitrum,NUSD,0.0,Claimed Fees
arbitrum,NUSD,58988.59182795362,Unclaimed Fees
aurora,NUSD,0.0,Claimed Fees
aurora,NUSD,126968.23189886987,Unclaimed Fees
aurora,USDC.e,0.0,Claimed Fees
aurora,USDC.e,0.0,Unclaimed Fees
aurora,USDT.e,0.0,Claimed Fees
aurora,USDT.e,0.0,Unclaimed Fees
avax,AVAX,0.0,Claimed Fees
avax,AVAX,0.0,Unclaimed Fees
avax,AVAX,25.79555068,Claimed Fees
avax,AVAX,13888.623874359759,Unclaimed Fees
avax,USDT.e,0.0,Claimed Fees
avax,USDT.e,0.0,Unclaimed Fees
avax,USDC.e,0.0,Claimed Fees
avax,USDC.e,0.0,Unclaimed Fees
avax,DAI.e,0.0,Claimed Fees
avax,DAI.e,0.0,Unclaimed Fees
avax,WETH.e,0.0,Claimed Fees
avax,WETH.e,0.0,Unclaimed Fees
avax,GOHM,17709.142471410392,Claimed Fees
avax,GOHM,16660.82744927194,Unclaimed Fees
avax,SYN,9192.435633970106,Claimed Fees
avax,SYN,5320.044260481711,Unclaimed Fees
avax,GMX,110.47774144675886,Claimed Fees
avax,GMX,0.0,Unclaimed Fees
avax,NETH,39201.35222351665,Claimed Fees
avax,NETH,57223.72617573189,Unclaimed Fees
avax,NUSD,0.6194110388476216,Claimed Fees
avax,NUSD,81601.51977470086,Unclaimed Fees
avax,USDC,0.0,Claimed Fees
avax,USDC,0.0,Unclaimed Fees
avax,USDT,0.0,Claimed Fees
avax,USDT,0.0,Unclaimed Fees
avax,JEWEL,0.0,Claimed Fees
avax,JEWEL,0.0,Unclaimed Fees
avax,BTCB,0.0,Claimed Fees
avax,BTCB,1.99911113064e-07,Unclaimed Fees
avax,AVWETH,0.0,Claimed Fees
avax,AVWETH,0.0,Unclaimed Fees
boba,WETH,0.0,Claimed Fees
boba,WETH,0.0,Unclaimed Fees
boba,ETH,0.0,Claimed Fees
boba,ETH,0.0,Unclaimed Fees
boba,USDC,0.0,Claimed Fees
boba,USDC,0.0,Unclaimed Fees
boba,USDT,0.0,Claimed Fees
boba,USDT,0.0,Unclaimed Fees
boba,DAI,0.0,Claimed Fees
boba,DAI,0.0,Unclaimed Fees
boba,NUSD,0.0,Claimed Fees
boba,NUSD,122769.64369798462,Unclaimed Fees
boba,NETH,28505.05124528613,Claimed Fees
boba,NETH,14397.069961015599,Unclaimed Fees
bsc,BUSD,0.0,Claimed Fees
bsc,BUSD,37.072615868643624,Unclaimed Fees
bsc,USDC,71233.05269157075,Claimed Fees
bsc,USDC,0.0,Unclaimed Fees
bsc,NUSD,0.0,Claimed Fees
bsc,NUSD,159726.49718707462,Unclaimed Fees
bsc,HIGH,2389.356361921308,Claimed Fees
bsc,HIGH,2619.623921973522,Unclaimed Fees
bsc,BSC-USD,63971.215161090826,Claimed Fees
bsc,BSC-USD,0.0,Unclaimed Fees
bsc,USDT,63971.215161090826,Claimed Fees
bsc,USDT,0.0,Unclaimed Fees
bsc,SYN,102.62169265541658,Claimed Fees
bsc,SYN,1654.9934788436128,Unclaimed Fees
canto,NETH,0.0,Claimed Fees
canto,NETH,10373.64150570897,Unclaimed Fees
canto,NUSD,0.0,Claimed Fees
canto,NUSD,119705.28315106613,Unclaimed Fees
canto,USDC,0.0,Claimed Fees
canto,USDC,0.0,Unclaimed Fees
canto,NOTE,0.0,Claimed Fees
canto,NOTE,0.0,Unclaimed Fees
canto,ETH,0.0,Claimed Fees
canto,ETH,0.0,Unclaimed Fees
canto,USDT,0.0,Claimed Fees
canto,USDT,0.0,Unclaimed Fees
cronos,USDC,0.0,Claimed Fees
cronos,USDC,0.0,Unclaimed Fees
cronos,NUSD,0.0,Claimed Fees
cronos,NUSD,24447.22211897609,Unclaimed Fees
dogechain,USDC,0.0,Claimed Fees
dogechain,USDC,2318.39287703592,Unclaimed Fees
dogechain,USDT,0.0,Claimed Fees
dogechain,USDT,846.7008329779999,Unclaimed Fees
dogechain,DAI,0.0,Claimed Fees
dogechain,DAI,455.62204036546694,Unclaimed Fees
dogechain,WBTC,0.0,Claimed Fees
dogechain,WBTC,101.18520612,Unclaimed Fees
dogechain,FRAX,0.0,Claimed Fees
dogechain,FRAX,13.979476,Unclaimed Fees
dogechain,WETH,0.0,Claimed Fees
dogechain,WETH,1457.7945431364465,Unclaimed Fees
ethereum,ETH,0.0,Claimed Fees
ethereum,ETH,0.0,Unclaimed Fees
ethereum,USDC,104636.3278998087,Claimed Fees
ethereum,USDC,329.89374,Unclaimed Fees
ethereum,DAI,14393.867836441395,Claimed Fees
ethereum,DAI,119.93664,Unclaimed Fees
ethereum,WBTC,3361.4302029,Claimed Fees
ethereum,WBTC,135.243,Unclaimed Fees
ethereum,LINK,28.32,Claimed Fees
ethereum,LINK,7.08,Unclaimed Fees
ethereum,HIGH,3565.8049257541124,Claimed Fees
ethereum,HIGH,93.29084375732872,Unclaimed Fees
ethereum,UNIDX,0.0,Claimed Fees
ethereum,UNIDX,199.34438596665143,Unclaimed Fees
ethereum,FRAX,26487.719480289787,Claimed Fees
ethereum,FRAX,99.85340000000001,Unclaimed Fees
ethereum,NUSD,10636.011576703459,Claimed Fees
ethereum,NUSD,10545.391463162154,Unclaimed Fees
ethereum,GOHM,56024.92786183497,Claimed Fees
ethereum,GOHM,11318.011818984729,Unclaimed Fees
ethereum,SYN,10984.480537218584,Claimed Fees
ethereum,SYN,2385.4451816348383,Unclaimed Fees
ethereum,USDT,6779.721403454999,Claimed Fees
ethereum,USDT,2431.1276989999997,Unclaimed Fees
ethereum,SYN-ETH Sushi LP,1143589.6524787147,Claimed Fees
ethereum,SYN-ETH Sushi LP,0.0,Unclaimed Fees
ethereum,WETH,15.796225894273563,Claimed Fees
ethereum,WETH,31466.60829234274,Unclaimed Fees
fantom,FTM,0.0,Claimed Fees
fantom,FTM,0.0,Unclaimed Fees
fantom,WFTM,247.52366150707755,Claimed Fees
fantom,WFTM,41.14573102817,Unclaimed Fees
fantom,SYN,560.4241652117931,Claimed Fees
fantom,SYN,3762.5419053648193,Unclaimed Fees
fantom,NUSD,25115.653883422157,Claimed Fees
fantom,NUSD,208444.1291772631,Unclaimed Fees
fantom,NETH,68685.10978292879,Claimed Fees
fantom,NETH,13470.127703996466,Unclaimed Fees
fantom,GOHM,0.0,Claimed Fees
fantom,GOHM,7387.24878091847,Unclaimed Fees
fantom,UNIDX,0.0,Claimed Fees
fantom,UNIDX,0.30000000000000004,Unclaimed Fees
metis,METIS,24977.25,Claimed Fees
metis,METIS,0.0,Unclaimed Fees
metis,m.USDC,1341608.6696142252,Claimed Fees
metis,m.USDC,0.0,Unclaimed Fees
metis,WETH,0.0,Claimed Fees
metis,WETH,0.0,Unclaimed Fees
metis,SYN,871.3874146504829,Claimed Fees
metis,SYN,165.33104674004431,Unclaimed Fees
metis,NUSD,0.006536241416231896,Claimed Fees
metis,NUSD,122533.70523449028,Unclaimed Fees
metis,NETH,0.0,Claimed Fees
metis,NETH,20800.846179905002,Unclaimed Fees
moonriver,MOVR,0.0,Claimed Fees
moonriver,MOVR,78.34313720491558,Unclaimed Fees
moonriver,USDC,0.0,Claimed Fees
moonriver,USDC,0.0,Unclaimed Fees
moonriver,WETH,0.0,Claimed Fees
moonriver,WETH,0.0,Unclaimed Fees
moonbeam,MOVR,0.0,Claimed Fees
moonbeam,MOVR,76.06323212518201,Unclaimed Fees
moonbeam,WETH,0.0,Claimed Fees
moonbeam,WETH,69.5036152182207,Unclaimed Fees
optimism,ETH,0.0,Claimed Fees
optimism,ETH,0.0,Unclaimed Fees
optimism,USDC,0.0,Claimed Fees
optimism,USDC,0.0,Unclaimed Fees
optimism,DAI,0.0,Claimed Fees
optimism,DAI,0.0,Unclaimed Fees
optimism,NETH,6611.5460007659485,Claimed Fees
optimism,NETH,119998.83891800116,Unclaimed Fees
optimism,UNIDX,0.0,Claimed Fees
optimism,UNIDX,1130.4157630024288,Unclaimed Fees
optimism,OP,192000.0,Claimed Fees
optimism,OP,0.0,Unclaimed Fees
optimism,GOHM,0.0,Claimed Fees
optimism,GOHM,1986.7530679105616,Unclaimed Fees
optimism,USDT,0.0,Claimed Fees
optimism,USDT,0.0,Unclaimed Fees
optimism,SYN,0.0,Claimed Fees
optimism,SYN,532.9854862066383,Unclaimed Fees
optimism,NUSD,0.0,Claimed Fees
optimism,NUSD,154117.90625316152,Unclaimed Fees
optimism,USDC.e,0.0,Claimed Fees
optimism,USDC.e,0.0,Unclaimed Fees
optimism,SUSD,0.0,Claimed Fees
optimism,SUSD,0.0,Unclaimed Fees
optimism,WETH,0.0,Claimed Fees
optimism,WETH,0.0,Unclaimed Fees
polygon,MATIC,0.0,Claimed Fees
polygon,MATIC,0.0,Unclaimed Fees
polygon,WMATIC,10495.307240315424,Claimed Fees
polygon,WMATIC,278.506693336,Unclaimed Fees
polygon,USDC.e,32822.35299308721,Claimed Fees
polygon,USDC.e,0.0,Unclaimed Fees
polygon,WETH,0.0,Claimed Fees
polygon,WETH,0.0,Unclaimed Fees
polygon,USDT,19058.800319558995,Claimed Fees
polygon,USDT,0.0,Unclaimed Fees
polygon,DAI,15548.727621152939,Claimed Fees
polygon,DAI,0.0,Unclaimed Fees
polygon,SYN,289.9742317237495,Claimed Fees
polygon,SYN,469.19533756727816,Unclaimed Fees
polygon,GOHM,2054.921498470911,Claimed Fees
polygon,GOHM,3065.6647740498343,Unclaimed Fees
polygon,NUSD,91118.12753077292,Claimed Fees
polygon,NUSD,125538.64421144484,Unclaimed Fees
